role,name,team
student,yeozhishen,CS2113-F14-1
student,JianJiaT,CS2113-F14-1
student,STeng618,CS2113-F14-1
student,mihirheda02,CS2113-F14-1
student,webtjs,CS2113-F14-2
student,Zhengwinter,CS2113-F14-2
student,Xb990219,CS2113-F14-2
student,adamzzq,CS2113-F14-2
student,V4Vern,CS2113-F14-3
student,joshualeejunyi,CS2113-F14-3
student,pqienso,CS2113-F14-3
student,LWachtel1,CS2113-F14-3
student,chenhowy,CS2113-F14-4
student,ChongXern,CS2113-F14-4
student,Kishen271828,CS2113-F14-4
student,dylansiew,CS2113-F14-4
student,cyhjason29,CS2113-F15-1
student,yuhengr,CS2113-F15-1
student,NGXZS,CS2113-F15-1
student,hongyijie06,CS2113-F15-1
student,songyuew,CS2113-F15-1
student,owx0130,CS2113-F15-2
student,rexyyong,CS2113-F15-2
student,paturikarthik,CS2113-F15-2
student,shawnpong,CS2113-F15-2
student,a-wild-chocolate,CS2113-F15-2
student,hwc0419,CS2113-F15-3
student,runxinghuan,CS2113-F15-3
student,IncyBot,CS2113-F15-3
student,ymirmeddeb,CS2113-F15-3
student,HenryGan138,CS2113-F15-3
student,yeozongyao,CS2113-F15-4
student,Joshuahoky,CS2113-F15-4
student,liuzehui03,CS2113-F15-4
student,lordgareth10,CS2113-F15-4
student,hailey-jung,CS2113-F15-4
student,genexus85,CS2113-T11-1
student,damiwee,CS2113-T11-1
student,Daviancold,CS2113-T11-1
student,JingHaoooo,CS2113-T11-1
student,OKW32,CS2113-T11-1
student,RyanTDL,CS2113-T11-2
student,seandooa,CS2113-T11-2
student,soongensayo,CS2113-T11-2
student,liuy1103,CS2113-T11-2
student,tiffanyliu0220,CS2113-T11-2
student,samuelory,CS2113-T11-3
student,IanFH,CS2113-T11-3
student,Ijaaz01,CS2113-T11-3
student,JeffinsonDarmawan,CS2113-T11-3
student,ZMinghuiZ,CS2113-T11-4
student,CXIA17,CS2113-T11-4
student,Jamarcus111,CS2113-T11-4
student,StargazerX0,CS2113-T11-4
student,BenjoBurger,CS2113-T12-1
student,anneleong,CS2113-T12-1
student,AhmedShaiyan,CS2113-T12-1
student,HiteshriAcharya,CS2113-T12-1
student,ningsongshen,CS2113-T12-1
student,wallywallywally,CS2113-T12-2
student,64-1,CS2113-T12-2
student,SharlynLui,CS2113-T12-2
student,LuoYu-uwu,CS2113-T12-2
student,luozihui2003,CS2113-T12-2
student,sweijie24,CS2113-T12-3
student,itsmejr257,CS2113-T12-3
student,Dheekshitha2,CS2113-T12-3
student,jasraa,CS2113-T12-3
student,yyangdaa,CS2113-T12-3
student,daryltay415,CS2113-T12-4
student,ChinYanXu,CS2113-T12-4
student,ChenKangg,CS2113-T12-4
student,EugeneChanJiajun,CS2113-T12-4
student,annnniexu,CS2113-T12-4
student,Celineyaa,CS2113-T13-1
student,yzhanglp,CS2113-T13-1
student,Andy123qq4,CS2113-T13-1
student,Geinzit,CS2113-T13-1
student,classskipper351,CS2113-T13-1
student,SemiColonKen,CS2113-T13-2
student,Leong-ZM,CS2113-T13-2
